,load,type,compressor,iteration,avg_time,std_dev,min_time,max_time,q1,median_time,q3,iqr,lower_whisker,upper_whisker,num_outliers
34,CANCER-PHON,MEMORY,ZLIB,27,4.426004560788472,0.4545886789346877,4.189668893814087,6.094941854476929,4.2418723702430725,4.2756427526474,4.356399476528168,0.11452710628509521,4.189668893814087,4.525805234909058,4.0
35,CANCER-PHON,MODEL,BZ2,17,3.3658441781997674,0.36058413540922807,3.216722726821899,5.144169569015503,3.2335843443870544,3.2554819583892822,3.3183000087738033,0.08471566438674882,3.216722726821899,3.3739089965820312,5.0
36,CANCER-PHON,MODEL,GZIP,20,7.068919324874878,0.8329171154609166,6.418259859085083,8.899025440216064,6.582854270935059,6.707909941673279,6.893429756164551,0.3105754852294922,6.418259859085083,6.9179723262786865,6.0
37,CANCER-PHON,MODEL,HEVC,6,28.777144145965575,0.6284736406837482,28.172621726989746,31.20362091064453,28.45513355731964,28.636743664741516,28.899838984012604,0.44470542669296265,28.172621726989746,29.252107858657837,2.0
38,CANCER-PHON,MODEL,JP2,5,5.568974129358927,0.10590167439656531,5.4626710414886475,6.01765251159668,5.5251652002334595,5.541397929191589,5.570866942405701,0.04570174217224121,5.4626710414886475,5.594856023788452,4.0
39,CANCER-PHON,MODEL,PPMD,24,5.859704494476318,0.6347250527536603,5.496938943862915,7.543045520782471,5.562800407409668,5.593483328819275,5.676153063774109,0.11335265636444092,5.496938943862915,5.7147181034088135,6.0
40,CANCER-PHON,MODEL,WEBP,13,12.341336790720622,0.4496844930932637,12.03605318069458,13.497465372085571,12.104524791240692,12.138713359832764,12.325804829597473,0.221280038356781,12.03605318069458,12.576658964157104,4.0
41,CANCER-PHON,MODEL,ZLIB,24,3.935153460502624,0.6334392584548617,3.561435937881469,5.7145819664001465,3.6083979606628414,3.6693485975265503,3.8082467317581172,0.19984877109527588,3.561435937881469,4.066563606262207,4.0
42,CANCER-PHON,PROCESS,BZ2,2,0.5058538993199663,0.01491537149943863,0.47595500946044905,0.544350147247314,0.4960111975669853,0.5024188756942745,0.512591540813446,0.016580343246460738,0.47595500946044905,0.533777236938476,1.0
43,CANCER-PHON,PROCESS,GZIP,2,0.8382505337397252,0.34984589554483136,0.7413535118103021,2.68640923500061,0.7565679550170898,0.7776869535446165,0.7872323989868161,0.03066444396972623,0.7413535118103021,0.8172204494476311,2.0
44,CANCER-PHON,PROCESS,HEVC,1,9.053522030512491,0.1546268767279328,8.811864137649536,9.616827726364136,8.97958779335022,9.01230013370514,9.066680610179901,0.0870928168296814,8.940889120101929,9.178548097610474,4.0
45,CANCER-PHON,PROCESS,JP2,7,7.223462621370952,0.2512933310817601,7.018283605575561,8.144410133361816,7.092113196849823,7.151044964790344,7.235443711280823,0.14333051443099976,7.018283605575561,7.377229690551758,2.0
46,CANCER-PHON,PROCESS,PPMD,2,0.587682461738586,0.3197144500090887,0.488409757614135,2.27474570274353,0.5158068537712095,0.5244501829147336,0.5364316701889035,0.02062481641769398,0.488409757614135,0.5636713504791261,3.0
47,CANCER-PHON,PROCESS,WEBP,4,3.8084760824839274,0.1961491827273716,3.683732509613037,4.645566463470459,3.7184988856315613,3.7361093759536743,3.7935546040534973,0.07505571842193604,3.683732509613037,3.8845832347869873,5.0
48,CANCER-PHON,PROCESS,ZLIB,4,0.584598859151204,0.014545748260601218,0.564075708389282,0.643159627914428,0.5802985429763793,0.5829542875289915,0.5874130129814146,0.007114470005035289,0.5757951736450191,0.5929100513458251,7.0
49,CANCER-PHON,TRAIN,BZ2,9,1.7448324203491206,0.4721720267687924,1.566160440444946,3.573817014694214,1.6023791432380672,1.6128550767898555,1.642887711524963,0.04050856828689575,1.566160440444946,1.687171220779419,3.0
50,CANCER-PHON,TRAIN,GZIP,17,5.758803518613179,0.7119325004657872,5.348105907440185,7.990459203720093,5.4026989340782166,5.446542501449585,5.556934654712677,0.15423572063446045,5.348105907440185,5.731929540634155,5.0
51,CANCER-PHON,TRAIN,HEVC,4,19.806506808598836,0.16541627186753383,19.477489233016968,20.129140853881836,19.716351985931396,19.78527557849884,19.91448622941971,0.19813424348831177,19.477489233016968,20.129140853881836,0.0
52,CANCER-PHON,TRAIN,JP2,13,14.19365034898122,0.15225873839527912,14.060649394989014,14.805365800857544,14.105725467205048,14.15967309474945,14.186866998672485,0.08114153146743774,14.060649394989014,14.286475419998169,5.0
53,CANCER-PHON,TRAIN,PPMD,6,1.287487149238586,0.5344865274649201,1.060198307037353,3.254910707473755,1.1056233048439021,1.1331893205642696,1.1839225888252254,0.07829928398132324,1.060198307037353,1.233291864395141,4.0
54,CANCER-PHON,TRAIN,WEBP,4,3.8208850860595702,0.03975908740325823,3.772122144699096,3.9607574939727783,3.7909101247787476,3.810091018676758,3.8412850499153133,0.05037492513656572,3.772122144699096,3.89032244682312,1.0
55,CANCER-PHON,TRAIN,ZLIB,17,2.47128902276357,0.5329193800292041,2.212368249893188,4.45018458366394,2.236709952354431,2.3281387090682983,2.424070417881012,0.1873604655265808,2.212368249893188,2.528591156005859,3.0
